,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft,cluster
count,7622.0,7622.0,7622.0,7622.0,7622.0,7622.0,0
mean,778.8797677774862,850.3061676725268,-45.61022828653897,-54.6408488585673,749.8173300970874,-35.60442928365258,0
std,128.78949026855116,129.5668346764409,63.84780721556353,58.76836516557249,112.58152614669719,53.410208455474375,0
min,500.86,500.08,-277.43,-293.17,500.07,-248.53,0
25%,679.7325000000001,786.8425,-94.9925,-100.3475,666.1025,-78.89750000000001,0
50%,785.395,871.5450000000001,-25.765,-33.44,767.335,-19.93,0
75%,885.7025,933.3025,9.84,-2.4625,839.7275,11.625,0
max,1157.63,1375.0,40.27,488.86,1288.85,41.64,0
count,287179.0,287179.0,287179.0,287179.0,287179.0,287179.0,1
mean,892.9050195870869,927.2789128035125,-228.21729336058692,-209.88993474453216,879.4885346073357,-180.81220346891658,1
std,25.583316318212386,38.66830739113561,34.74562036271635,34.19358794980491,46.33054777314651,26.648116163202925,1
min,662.4,504.62,-456.66,-459.31,501.52,-396.37,1
25%,875.84,902.06,-254.43,-233.68,859.22,-200.2,1
50%,890.04,926.29,-230.14,-211.13,884.54,-179.22,1
75%,906.11,951.24,-201.86,-188.31,905.97,-162.12,1
max,1135.63,1375.0,5.53,6.53,1375.0,-2.22,1
